index,random,reversed,almost,sorted
1,748,99999,99999,1
2,281,99995,1,1
3,568,99994,1,1
4,8,99994,1,2
5,440,99993,2,2
6,702,99993,2,3
7,246,99992,3,3
8,1,99990,3,4
9,598,99987,4,4
10,918,99987,4,4
11,959,99987,4,4
12,334,99986,4,5
13,438,99986,5,5
14,515,99985,5,5
15,254,99985,5,5
16,744,99984,5,5
17,730,99983,5,6
18,143,99983,6,6
19,189,99982,6,6
20,480,99982,6,6
21,479,99977,6,6
22,743,99975,6,7
23,332,99973,7,7
24,519,99973,7,7
25,97,99971,7,8
26,23,99969,8,8
27,231,99969,8,8
28,837,99968,8,8
29,157,99966,8,8
30,912,99966,8,9
31,678,99965,9,9
32,347,99965,9,11
33,60,99963,11,11
34,427,99961,11,11
35,885,99961,11,11
36,852,99960,11,12
37,103,99960,12,12
38,81,99958,12,13
39,111,99958,13,14
40,557,99957,14,14
41,40,99956,14,14
42,467,99956,14,15
43,693,99952,15,15
44,854,99951,15,15
45,961,99951,15,15
46,262,99950,15,15
47,399,99949,15,15
48,642,99947,15,16
49,992,99945,16,17
50,5,99943,17,17
51,876,99943,17,17
52,440,99941,17,17
53,930,99940,17,17
54,375,99940,17,17
55,119,99939,17,18
56,876,99937,18,18
57,62,99937,18,19
58,672,99936,19,20
59,112,99936,20,20
60,920,99935,20,20
61,559,99935,20,20
62,133,99934,20,21
63,153,99934,21,21
64,427,99934,21,22
65,253,99934,22,22
66,254,99934,22,22
67,863,99933,22,22
68,179,99933,22,22
69,2,99929,22,22
70,555,99929,22,23
71,712,99927,23,23
72,519,99926,23,23
73,514,99926,23,24
74,214,99926,24,25
75,867,99925,25,26
76,101,99923,26,26
77,15,99923,26,26
78,561,99921,26,26
79,454,99920,26,27
80,119,99920,27,27
81,486,99920,27,27
82,843,99919,27,28
83,694,99918,28,28
84,868,99917,28,28
85,350,99916,28,29
86,591,99915,29,29
87,706,99915,29,29
88,314,99915,29,29
89,598,99915,29,29
90,173,99912,29,30
91,99,99909,30,30
92,296,99908,30,30
93,818,99905,30,30
94,881,99904,30,31
95,252,99904,31,31
96,40,99903,31,31
97,767,99902,31,31
98,493,99901,31,31
99,919,99900,31,31
100,23,99898,31,31
101,813,99897,31,31
102,6,99897,31,31
103,192,99896,31,32
104,489,99891,32,32
105,789,99890,32,32
106,158,99890,32,32
107,119,99888,32,32
108,100,99888,32,33
109,831,99887,33,33
110,900,99887,33,33
111,460,99884,33,33
112,239,99882,33,34
113,548,99880,34,34
114,983,99880,34,35
115,366,99878,35,35
116,374,99876,35,35
117,66,99874,35,35
118,964,99873,35,37
119,633,99873,37,37
120,278,99873,37,37
121,116,99873,37,37
122,533,99872,37,37
123,313,99871,37,37
124,573,99870,37,38
125,682,99870,38,38
126,937,99869,38,39
127,787,99869,39,39
128,816,99867,39,39
129,866,99867,39,40
130,218,99866,40,40
131,982,99865,40,40
132,684,99864,40,40
133,302,99864,40,40
134,426,99864,40,40
135,353,99862,40,41
136,757,99860,41,41
137,136,99860,41,41
138,57,99860,41,42
139,970,99859,42,42
140,268,99858,42,43
141,946,99857,43,43
142,481,99857,43,43
143,485,99856,43,43
144,607,99856,43,43
145,98,99855,43,43
146,806,99853,43,44
147,868,99853,44,44
148,670,99853,44,45
149,395,99852,45,45
150,706,99851,45,46
151,353,99850,46,47
152,577,99849,47,47
153,563,99848,47,47
154,644,99848,47,47
155,598,99846,47,47
156,714,99845,47,48
157,324,99844,48,48
158,372,99844,48,48
159,131,99843,48,49
160,737,99842,49,49
161,462,99842,49,49
162,503,99842,49,49
163,28,99841,49,50
164,789,99840,50,50
165,302,99839,50,50
166,496,99839,50,50
167,543,99838,50,51
168,979,99838,51,52
169,951,99838,52,52
170,912,99837,52,52
171,841,99835,52,52
172,517,99834,52,53
173,145,99833,53,54
174,137,99830,54,54
175,93,99829,54,56
176,231,99827,56,56
177,360,99826,56,56
178,619,99824,56,57
179,745,99821,57,59
180,827,99821,59,59
181,405,99820,59,60
182,46,99820,60,60
183,587,99817,60,60
184,818,99817,60,60
185,191,99816,60,60
186,520,99816,60,60
187,569,99815,60,61
188,234,99814,61,61
189,118,99813,61,62
190,810,99811,62,62
191,644,99811,62,62
192,186,99810,62,62
193,707,99809,62,62
194,87,99806,62,62
195,638,99806,62,62
196,492,99805,62,63
197,373,99805,63,63
198,438,99804,63,63
199,926,99801,63,64
200,726,99801,64,64
201,491,99800,64,64
202,340,99799,64,65
203,315,99799,65,66
204,465,99798,66,66
205,727,99797,66,66
206,613,99796,66,66
207,480,99796,66,66
208,907,99795,66,67
209,705,99794,67,67
210,726,99791,67,68
211,204,99789,68,68
212,748,99789,68,68
213,648,99787,68,68
214,21,99786,68,69
215,244,99785,69,69
216,536,99784,69,71
217,886,99783,71,71
218,903,99781,71,71
219,360,99781,71,72
220,887,99780,72,72
221,59,99779,72,73
222,411,99779,73,73
223,397,99776,73,73
224,250,99775,73,73
225,120,99770,73,73
226,719,99770,73,73
227,459,99768,73,73
228,29,99766,73,74
229,250,99766,74,74
230,933,99765,74,75
231,31,99764,75,75
232,620,99764,75,76
233,518,99762,76,76
234,469,99762,76,76
235,752,99761,76,77
236,122,99761,77,77
237,210,99757,77,78
238,689,99756,78,78
239,224,99756,78,78
240,507,99756,78,78
241,950,99753,78,79
242,880,99752,79,81
243,342,99751,81,81
244,5,99751,81,82
245,828,99748,82,82
246,1000,99744,82,82
247,570,99742,82,82
248,241,99742,82,84
249,391,99741,84,85
250,789,99739,85,86
251,940,99739,86,86
252,738,99737,86,86
253,577,99732,86,87
254,198,99730,87,87
255,403,99730,87,87
256,697,99727,87,87
257,2,99725,87,87
258,341,99724,87,87
259,695,99723,87,88
260,786,99722,88,88
261,693,99720,88,88
262,896,99719,88,88
263,614,99718,88,90
264,554,99717,90,90
265,399,99717,90,91
266,479,99716,91,91
267,5,99715,91,92
268,146,99715,92,92
269,933,99714,92,92
270,702,99714,92,93
271,907,99714,93,93
272,716,99711,93,93
273,61,99709,93,93
274,786,99709,93,95
275,956,99708,95,95
276,258,99708,95,95
277,422,99706,95,95
278,694,99705,95,96
279,771,99705,96,96
280,503,99704,96,96
281,567,99703,96,96
282,746,99702,96,97
283,565,99702,97,97
284,741,99702,97,97
285,313,99702,97,98
286,29,99700,98,98
287,723,99700,98,98
288,394,99698,98,98
289,562,99697,98,99
290,24,99695,99,99
291,120,99695,99,99
292,853,99691,99,99
293,735,99691,99,100
294,297,99690,100,100
295,346,99689,100,100
296,367,99684,100,100
297,793,99684,100,101
298,764,99684,101,101
299,232,99683,101,101
300,286,99683,101,101
301,665,99682,101,102
302,530,99682,102,103
303,829,99681,103,103
304,608,99680,103,103
305,273,99679,103,104
306,217,99679,104,104
307,246,99679,104,104
308,195,99675,104,104
309,728,99675,104,104
310,749,99675,104,104
311,225,99673,104,104
312,43,99672,104,105
313,864,99672,105,105
314,984,99671,105,106
315,401,99671,106,106
316,909,99671,106,106
317,402,99670,106,106
318,149,99670,106,106
319,584,99670,106,107
320,817,99669,107,107
321,415,99668,107,108
322,130,99666,108,108
323,530,99665,108,109
324,15,99664,109,109
325,348,99664,109,109
326,669,99664,109,110
327,768,99659,110,111
328,629,99658,111,112
329,540,99658,112,112
330,363,99658,112,112
331,988,99657,112,112
332,73,99653,112,113
333,581,99652,113,113
334,289,99648,113,113
335,532,99647,113,113
336,182,99647,113,113
337,433,99647,113,114
338,404,99646,114,115
339,839,99646,115,116
340,718,99645,116,117
341,649,99643,117,117
342,391,99643,117,117
343,132,99643,117,118
344,908,99642,118,119
345,106,99639,119,119
346,849,99638,119,119
347,174,99638,119,119
348,990,99637,119,119
349,263,99637,119,119
350,203,99636,119,120
351,338,99636,120,120
352,484,99634,120,120
353,797,99634,120,120
354,686,99633,120,121
355,251,99633,121,121
356,561,99629,121,121
357,236,99629,121,121
358,623,99629,121,122
359,6,99626,122,122
360,408,99626,122,122
361,645,99626,122,122
362,556,99624,122,123
363,777,99624,123,124
364,322,99623,124,125
365,348,99623,125,125
366,867,99622,125,126
